-1.31008,1.411144,0.8306118,0.7701218,-3.930265,3.494416,1.507505,0.8790765,-1.245115,1.07067,0.8139139,0.7219877,-1.685536,1.521896,0.6554734,0.7392623,-1.652676,1.621385,0.7680469,0.7689748,-1.619817,1.720874,0.8806204,0.7986874,-2.102256,1.919853,0.9819716,0.8260536,-1.163267,1.202876,0.7256628,0.7525898,-2.245007,1.715486,0.6768025,0.7965927,-1.525129,1.449124,0.7320001,0.7617576,-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,4
-3.930265,3.494416,1.507505,0.8790765,-1.245115,1.07067,0.8139139,0.7219877,-1.685536,1.521896,0.6554734,0.7392623,-1.652676,1.621385,0.7680469,0.7689748,-1.619817,1.720874,0.8806204,0.7986874,-2.102256,1.919853,0.9819716,0.8260536,-1.163267,1.202876,0.7256628,0.7525898,-2.245007,1.715486,0.6768025,0.7965927,-1.525129,1.449124,0.7320001,0.7617576,-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,-2.419174,2.169583,1.180792,0.8299442,4
-1.245115,1.07067,0.8139139,0.7219877,-1.685536,1.521896,0.6554734,0.7392623,-1.652676,1.621385,0.7680469,0.7689748,-1.619817,1.720874,0.8806204,0.7986874,-2.102256,1.919853,0.9819716,0.8260536,-1.163267,1.202876,0.7256628,0.7525898,-2.245007,1.715486,0.6768025,0.7965927,-1.525129,1.449124,0.7320001,0.7617576,-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,-2.419174,2.169583,1.180792,0.8299442,-2.154068,1.487734,0.7582517,0.7417151,4
-1.685536,1.521896,0.6554734,0.7392623,-1.652676,1.621385,0.7680469,0.7689748,-1.619817,1.720874,0.8806204,0.7986874,-2.102256,1.919853,0.9819716,0.8260536,-1.163267,1.202876,0.7256628,0.7525898,-2.245007,1.715486,0.6768025,0.7965927,-1.525129,1.449124,0.7320001,0.7617576,-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,-2.419174,2.169583,1.180792,0.8299442,-2.154068,1.487734,0.7582517,0.7417151,-1.889801,2.363525,0.8574822,0.8089628,4
-1.619817,1.720874,0.8806204,0.7986874,-2.102256,1.919853,0.9819716,0.8260536,-1.163267,1.202876,0.7256628,0.7525898,-2.245007,1.715486,0.6768025,0.7965927,-1.525129,1.449124,0.7320001,0.7617576,-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,-2.419174,2.169583,1.180792,0.8299442,-2.154068,1.487734,0.7582517,0.7417151,-1.889801,2.363525,0.8574822,0.8089628,-2.695428,2.643514,1.445734,0.8384597,-3.910931,4.064361,1.693608,0.9106732,4
-2.102256,1.919853,0.9819716,0.8260536,-1.163267,1.202876,0.7256628,0.7525898,-2.245007,1.715486,0.6768025,0.7965927,-1.525129,1.449124,0.7320001,0.7617576,-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,-2.419174,2.169583,1.180792,0.8299442,-2.154068,1.487734,0.7582517,0.7417151,-1.889801,2.363525,0.8574822,0.8089628,-2.695428,2.643514,1.445734,0.8384597,-3.910931,4.064361,1.693608,0.9106732,-1.967989,2.107918,0.8888267,0.8105058,4
-1.163267,1.202876,0.7256628,0.7525898,-2.245007,1.715486,0.6768025,0.7965927,-1.525129,1.449124,0.7320001,0.7617576,-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,-2.419174,2.169583,1.180792,0.8299442,-2.154068,1.487734,0.7582517,0.7417151,-1.889801,2.363525,0.8574822,0.8089628,-2.695428,2.643514,1.445734,0.8384597,-3.910931,4.064361,1.693608,0.9106732,-1.967989,2.107918,0.8888267,0.8105058,-2.764597,3.862501,0.9312303,0.8164602,4
-2.245007,1.715486,0.6768025,0.7965927,-1.525129,1.449124,0.7320001,0.7617576,-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,-2.419174,2.169583,1.180792,0.8299442,-2.154068,1.487734,0.7582517,0.7417151,-1.889801,2.363525,0.8574822,0.8089628,-2.695428,2.643514,1.445734,0.8384597,-3.910931,4.064361,1.693608,0.9106732,-1.967989,2.107918,0.8888267,0.8105058,-2.764597,3.862501,0.9312303,0.8164602,-2.132695,1.347151,0.7947791,0.7435103,4
-1.525129,1.449124,0.7320001,0.7617576,-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,-2.419174,2.169583,1.180792,0.8299442,-2.154068,1.487734,0.7582517,0.7417151,-1.889801,2.363525,0.8574822,0.8089628,-2.695428,2.643514,1.445734,0.8384597,-3.910931,4.064361,1.693608,0.9106732,-1.967989,2.107918,0.8888267,0.8105058,-2.764597,3.862501,0.9312303,0.8164602,-2.132695,1.347151,0.7947791,0.7435103,-3.318226,2.580492,0.8961656,0.8430136,4
-1.521057,1.601035,0.7519608,0.7670583,-1.2629,2.016534,0.7580478,0.772052,-3.559322,3.282451,1.038648,0.8518421,-2.789739,2.210644,1.094794,0.8386419,-1.370595,1.63679,0.7786473,0.7698255,-1.602321,1.617127,0.7804174,0.7833601,-2.401717,2.268929,1.247621,0.8409114,-1.495342,3.494083,0.6871027,0.778797,-4.233418,4.23664,3.239742,0.9410059,-3.75419,3.16457,1.45971,0.8902469,-2.419174,2.169583,1.180792,0.8299442,-2.154068,1.487734,0.7582517,0.7417151,-1.889801,2.363525,0.8574822,0.8089628,-2.695428,2.643514,1.445734,0.8384597,-3.910931,4.064361,1.693608,0.9106732,-1.967989,2.107918,0.8888267,0.8105058,-2.764597,3.862501,0.9312303,0.8164602,-2.132695,1.347151,0.7947791,0.7435103,-3.318226,2.580492,0.8961656,0.8430136,-3.203587,2.059197,1.589429,0.8643267,4
